source_file,old_post_id,old_url,old_slug,old_title,old_content_type,new_content_type,category,subcategory,original_publish_date,original_modified_date,word_count,media_count,internal_links,external_links,seo_title,meta_description,potential_target_url,existing_new_equivalent,content_quality_score,historical_value_score,medical_review_required,recommended_action,notes
../output/markdown/hair__when-is-the-perfect-time-to-restore-your-hair.md,,https://www.radianceclinics.com/post/when-is-the-perfect-time-to-restore-your-hair/,when-is-the-perfect-time-to-restore-your-hair,When Is the Perfect Time to Restore Your Hair?,post,DOCTOR_ANSWER_CANDIDATE,Other,hair,2025-12-18,,518,,0,0,,,/knowledge/when-is-the-perfect-time-to-restore-your-hair,no,85,77,yes,CONVERT_TO_QA,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/hair__what-are-the-most-common-myths-about-surgical-hair-restoration.md,,https://www.radianceclinics.com/post/what-are-the-most-common-myths-about-surgical-hair-restoration/,what-are-the-most-common-myths-about-surgical-hair-restoration,What are the Most Common Myths About Surgical Hair Restoration?,post,CLINIC_INFO,Clinic & Doctor,hair,2025-12-30,,555,,0,0,,,/about,yes,85,78,no,EXPAND,source bucket GOOD; medical/editorial flags: \bguarantee[sd]?\b
../output/markdown/clinic__how-to-know-if-youre-a-good-candidate-for-fue-or-fut.md,,https://www.radianceclinics.com/post/how-to-know-if-youre-a-good-candidate-for-fue-or-fut/,how-to-know-if-youre-a-good-candidate-for-fue-or-fut,How to Know If You’re a Good Candidate for FUE or FUT?,post,DOCTOR_ANSWER_CANDIDATE,Hair Transplant,clinic,2026-01-13,,546,,0,0,,,/hair-transplant-bhubaneswar,yes,85,78,yes,CONVERT_TO_QA,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/clinic__how-does-hair-loss-affect-an-individuals-confidence-level.md,,https://www.radianceclinics.com/post/how-does-hair-loss-affect-an-individuals-confidence-level/,how-does-hair-loss-affect-an-individuals-confidence-level,How Does Hair Loss Affect an Individual’s Confidence Level,post,DOCTOR_ANSWER_CANDIDATE,Hair Loss & Scalp,clinic,2026-02-14,,560,,0,0,,,/concerns/hair-loss-scalp/hair-loss,yes,85,79,yes,CONVERT_TO_QA,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b
../output/markdown/hair__why-do-some-people-regret-getting-a-hair-transplant-too-early.md,,https://www.radianceclinics.com/post/why-do-some-people-regret-getting-a-hair-transplant-too-early/,why-do-some-people-regret-getting-a-hair-transplant-too-early,Why Do Some People Regret Getting a Hair Transplant Too Early,post,DOCTOR_ANSWER_CANDIDATE,Hair Transplant,hair,2026-05-20,,542,,0,0,,,/hair-transplant-bhubaneswar,yes,85,78,yes,CONVERT_TO_QA,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b
../output/markdown/clinic__hair-transplant-in-rourkela.md,,https://www.radianceclinics.com/hair-transplant-in-rourkela/,hair-transplant-in-rourkela,Hair transplant in Rourkela,page,LOCATION,Hair Transplant,clinic,2022-08-09,,430,,0,0,,,/hair-transplant-bhubaneswar,yes,80,70,yes,REDIRECT,source bucket GOOD; medical/editorial flags: \bprescri(?:be|ption)\b; legacy city page does not establish a clinic branch
../output/markdown/clinic__hair-transplant-in-sambalpur.md,,https://www.radianceclinics.com/hair-transplant-in-sambalpur/,hair-transplant-in-sambalpur,Hair transplant in Sambalpur,page,LOCATION,Hair Transplant,clinic,2022-08-20,,412,,0,0,,,/hair-transplant-bhubaneswar,yes,80,69,yes,REDIRECT,source bucket GOOD; medical/editorial flags: \bprescri(?:be|ption)\b | \bpregnan(?:cy|t)\b; legacy city page does not establish a clinic branch
../output/markdown/clinic__hair-transplant-in-angul.md,,https://www.radianceclinics.com/hair-transplant-in-angul/,hair-transplant-in-angul,Hair Transplant in Angul,page,LOCATION,Hair Transplant,clinic,2023-02-10,,515,,0,0,,,/hair-transplant-bhubaneswar,yes,80,73,yes,REDIRECT,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b | \bprescri(?:be|ption)\b; legacy city page does not establish a clinic branch
../output/markdown/clinic__hair-transplant-in-koraput.md,,https://www.radianceclinics.com/hair-transplant-in-koraput/,hair-transplant-in-koraput,Hair Transplant in Koraput,page,LOCATION,Hair Transplant,clinic,2023-02-10,,537,,0,0,,,/hair-transplant-bhubaneswar,yes,80,74,yes,REDIRECT,source bucket GOOD; medical/editorial flags: \bpainless\b; legacy city page does not establish a clinic branch
../output/markdown/clinic__tan-removal.md,,https://www.radianceclinics.com/tan-removal/,tan-removal,Sunspots Treatment Bhubaneswar,page,TREATMENT,Pigmentation,clinic,2023-02-13,,419,,0,0,,,/pigmentation-treatment-bhubaneswar,yes,80,69,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bwhiten(?:ing)?\b | \bprescri(?:be|ption)\b
../output/markdown/clinic__split-ear-repair.md,,https://www.radianceclinics.com/split-ear-repair/,split-ear-repair,Split Ear Repair,page,CONCERN,Scars & Stretch Marks,clinic,2023-02-18,,414,,0,0,,,/knowledge,no,80,69,yes,REWRITE,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b | \bprescri(?:be|ption)\b
../output/markdown/clinic__body-reshaping-treatment.md,,https://www.radianceclinics.com/body-reshaping-treatment/,body-reshaping-treatment,Body Reshaping Treatment,page,CLINIC_INFO,Clinic & Doctor,clinic,2023-02-23,,431,,0,0,,,/about,yes,80,70,no,EXPAND,source bucket GOOD; medical/editorial flags: \bpregnan(?:cy|t)\b
../output/markdown/clinic__split-ear-repair-2.md,,https://www.radianceclinics.com/split-ear-repair-2/,split-ear-repair-2,Split Ear Repair,page,CONCERN,Scars & Stretch Marks,clinic,2023-02-23,,420,,0,0,,,/knowledge,no,80,70,yes,REWRITE,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b | \bprescri(?:be|ption)\b
../output/markdown/clinic__sunspot-removal.md,,https://www.radianceclinics.com/sunspot-removal/,sunspot-removal,Sunspots Treatment Bhubaneswa,page,CLINIC_INFO,Clinic & Doctor,clinic,2023-08-13,,409,,0,0,,,/about,yes,80,69,no,EXPAND,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/clinic__body-shaping-bhuabaneswar.md,,https://www.radianceclinics.com/body-shaping-bhuabaneswar/,body-shaping-bhuabaneswar,Body Shaping,page,CLINIC_INFO,Clinic & Doctor,clinic,2023-08-13,,658,,0,0,,,/about,yes,80,79,no,EXPAND,source bucket GOOD; medical/editorial flags: \bpregnan(?:cy|t)\b
../output/markdown/clinic__skin-brightening-solutions-radiance.md,,https://www.radianceclinics.com/skin-brightening-solutions-radiance/,skin-brightening-solutions-radiance,Skin Brightening Solutions,page,CONCERN,Pigmentation,clinic,2023-08-13,,415,,0,0,,,/pigmentation-treatment-bhubaneswar,yes,80,69,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bwhiten(?:ing)?\b
../output/markdown/clinic__scalp-micropigmentation.md,,https://www.radianceclinics.com/scalp-micropigmentation/,scalp-micropigmentation,Scalp Micropigmentation Bhubaneswar,page,CONCERN,Hair Loss & Scalp,clinic,2023-08-15,,453,,0,0,,,/pigmentation-treatment-bhubaneswar,yes,80,71,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b
../output/markdown/clinic__body-hair-transplant.md,,https://www.radianceclinics.com/body-hair-transplant/,body-hair-transplant,Body Hair Transplant,page,TREATMENT,Hair Transplant,clinic,2023-08-18,,599,,0,0,,,/hair-transplant-bhubaneswar,yes,80,77,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bcure[sd]?\b
../output/markdown/clinic__prp.md,,https://www.radianceclinics.com/treatment/hairfall/prp/,prp,PRP,page,TREATMENT,Hair Loss & Scalp,clinic,2023-09-23,,493,,0,0,,,/knowledge,no,80,73,yes,MERGE,source bucket GOOD; medical/editorial flags: \bno downtime\b
../output/markdown/hair__gfc.md,,https://www.radianceclinics.com/treatment/hairfall/gfc/,gfc,GFC,page,TREATMENT,Hair Loss & Scalp,hair,2023-09-23,,446,,0,0,,,/knowledge,no,80,71,yes,REWRITE,source bucket GOOD; medical/editorial flags: \bno downtime\b | \bpainless\b
../output/markdown/clinic__are-fillers-treatments-safe.md,,https://www.radianceclinics.com/post/are-fillers-treatments-safe/,are-fillers-treatments-safe,Are Fillers Treatments Safe?,post,DOCTOR_ANSWER_CANDIDATE,Ageing & Aesthetics,clinic,2021-12-14,,471,,0,0,,,/dermal-fillers-bhubaneswar,yes,80,72,yes,CONVERT_TO_QA,source bucket GOOD; medical/editorial flags: \bcure[sd]?\b | \b(botox|filler|injectable)\b
../output/markdown/laser__laser-hair-removal.md,,https://www.radianceclinics.com/post/laser-hair-removal/,laser-hair-removal,Laser Hair Removal,post,TREATMENT,Laser Hair Reduction,laser,2021-12-15,,415,,0,0,,,/laser-hair-removal-bhubaneswar,yes,80,69,yes,EXPAND,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/skin__frequently-asked-questions.md,,https://www.radianceclinics.com/frequently-asked-questions/,frequently-asked-questions,Frequently Asked Questions,page,PATIENT_GUIDE,Skin Health,skin,2026-01-16,,390,,0,0,,,/skin-clinic-bhubaneswar,yes,80,68,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b | \bpainless\b | \b(botox|filler|injectable)\b
../output/markdown/clinic__why-radiance-skin-and-hair-clinics-is-the-best-hair-loss-clinic-in-bhubaneswar.md,,https://www.radianceclinics.com/post/why-radiance-skin-and-hair-clinics-is-the-best-hair-loss-clinic-in-bhubaneswar/,why-radiance-skin-and-hair-clinics-is-the-best-hair-loss-clinic-in-bhubaneswar,Why Radiance Skin and Hair Clinics is the best hair loss clinic in Bhubaneswar,post,DOCTOR_ANSWER_CANDIDATE,Hair Loss & Scalp,clinic,2022-05-31,,441,,0,0,,,/concerns/hair-loss-scalp/hair-loss,yes,80,70,yes,CONVERT_TO_QA,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/clinic__the-quality-of-hair-transplant-service-offered-by-radiance-skin-and-hair-clinics.md,,https://www.radianceclinics.com/post/the-quality-of-hair-transplant-service-offered-by-radiance-skin-and-hair-clinics/,the-quality-of-hair-transplant-service-offered-by-radiance-skin-and-hair-clinics,The quality of hair transplant service offered by Radiance Skin and Hair Clinics,post,TREATMENT,Hair Transplant,clinic,2022-10-21,,480,,0,0,,,/hair-transplant-bhubaneswar,yes,80,72,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bguarantee[sd]?\b | \bprescri(?:be|ption)\b
../output/markdown/clinic__things-to-avoid-if-you-have-acne-prone-skin.md,,https://www.radianceclinics.com/post/things-to-avoid-if-you-have-acne-prone-skin/,things-to-avoid-if-you-have-acne-prone-skin,Things to Avoid if you have Acne-prone Skin,post,CONCERN,Acne,clinic,2022-10-01,,458,,0,0,,,/concerns/acne/acne,yes,80,71,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b | \bpregnan(?:cy|t)\b
../output/markdown/clinic__four-misconceptions-people-have-about-laser-tattoo-removal-in-bhubaneswar.md,,https://www.radianceclinics.com/post/four-misconceptions-people-have-about-laser-tattoo-removal-in-bhubaneswar/,four-misconceptions-people-have-about-laser-tattoo-removal-in-bhubaneswar,Four misconceptions people have about laser tattoo removal in Bhubaneswar,post,TREATMENT,Skin Health,clinic,2022-08-23,,578,,0,0,,,/tattoo-removal-bhubaneswar,yes,80,76,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bpainless\b
../output/markdown/clinic__where-to-have-a-high-density-hair-transplant-in-bhubaneswar.md,,https://www.radianceclinics.com/post/where-to-have-a-high-density-hair-transplant-in-bhubaneswar/,where-to-have-a-high-density-hair-transplant-in-bhubaneswar,Where to have a high density hair transplant in Bhubaneswar,post,LOCATION,Hair Transplant,clinic,2022-04-24,,406,,0,0,,,/hair-transplant-bhubaneswar,yes,80,69,yes,EXPAND,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/clinic__the-skin-brightening-treatment-possible-to-have-at-radiance-skin-and-hair-clinics.md,,https://www.radianceclinics.com/post/the-skin-brightening-treatment-possible-to-have-at-radiance-skin-and-hair-clinics/,the-skin-brightening-treatment-possible-to-have-at-radiance-skin-and-hair-clinics,The skin brightening treatment possible to have at Radiance Skin and Hair Clinics,post,TREATMENT,Pigmentation,clinic,2022-05-22,,424,,0,0,,,/pigmentation-treatment-bhubaneswar,yes,80,70,yes,EXPAND,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/clinic__certain-myths-about-hair-transplants-for-young-men.md,,https://www.radianceclinics.com/post/certain-myths-about-hair-transplants-for-young-men/,certain-myths-about-hair-transplants-for-young-men,Certain Myths about Hair Transplants for Young Men,post,TREATMENT,Hair Transplant,clinic,2023-01-21,,471,,0,0,,,/hair-transplant-bhubaneswar,yes,80,72,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bpainless\b | \bprescri(?:be|ption)\b
../output/markdown/clinic__is-it-possible-to-stop-saving-unwanted-hair.md,,https://www.radianceclinics.com/post/is-it-possible-to-stop-saving-unwanted-hair/,is-it-possible-to-stop-saving-unwanted-hair,Is It Possible To Stop Saving Unwanted Hair,post,DOCTOR_ANSWER_CANDIDATE,Laser Hair Reduction,clinic,2023-02-28,,466,,0,0,,,/knowledge/is-it-possible-to-stop-saving-unwanted-hair,no,80,71,yes,CONVERT_TO_QA,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b
../output/markdown/clinic__aging-gracefully-with-botox-how-it-can-enhance-your-natural-beauty.md,,https://www.radianceclinics.com/post/aging-gracefully-with-botox-how-it-can-enhance-your-natural-beauty/,aging-gracefully-with-botox-how-it-can-enhance-your-natural-beauty,Aging Gracefully with Botox: How It Can Enhance Your Natural Beauty,post,ARTICLE,Ageing & Aesthetics,clinic,2023-06-24,,476,,0,0,,,/botox-treatment-bhubaneswar,yes,80,72,yes,EXPAND,source bucket GOOD; medical/editorial flags: \b(botox|filler|injectable)\b
../output/markdown/clinic__the-key-to-lasting-smoothness-unlock-laser-hair-removal.md,,https://www.radianceclinics.com/post/the-key-to-lasting-smoothness-unlock-laser-hair-removal/,the-key-to-lasting-smoothness-unlock-laser-hair-removal,The Key to Lasting Smoothness: Unlock Laser Hair Removal,post,TREATMENT,Laser Hair Reduction,clinic,2023-07-14,,454,,0,0,,,/laser-hair-removal-bhubaneswar,yes,80,71,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b
../output/markdown/clinic__say-goodbye-to-monsoon-hair-loss-easy-ways-to-control-hairfall.md,,https://www.radianceclinics.com/post/say-goodbye-to-monsoon-hair-loss-easy-ways-to-control-hairfall/,say-goodbye-to-monsoon-hair-loss-easy-ways-to-control-hairfall,Say Goodbye to Monsoon Hair Loss: Easy Ways to Control Hairfall,post,CONCERN,Hair Loss & Scalp,clinic,2023-07-19,,558,,0,0,,,/concerns/hair-loss-scalp/hair-loss,yes,80,75,yes,EXPAND,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/skin__essential-skincare-tips-and-advice-from-dermatologists.md,,https://www.radianceclinics.com/post/essential-skincare-tips-and-advice-from-dermatologists/,essential-skincare-tips-and-advice-from-dermatologists,Essential Skincare Tips and Advice from Dermatologists,post,ARTICLE,Skin Health,skin,2023-08-14,,479,,0,0,,,/knowledge/essential-skincare-tips-and-advice-from-dermatologists,no,80,72,yes,CONVERT_TO_GUIDE,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/clinic__combat-hair-fall-natural-remedies-dermatologist-tips.md,,https://www.radianceclinics.com/post/combat-hair-fall-natural-remedies-dermatologist-tips/,combat-hair-fall-natural-remedies-dermatologist-tips,Combat Hair Fall: Natural Remedies & Dermatologist Tips,post,CONCERN,Hair Loss & Scalp,clinic,2023-09-14,,611,,1,1,,,/concerns/hair-loss-scalp/hair-loss,yes,80,77,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b | \bweight loss\b
../output/markdown/clinic__fillers-treatment-at-radiance-skin-and-hair-clinics-in-bhubaneswar.md,,https://www.radianceclinics.com/post/fillers-treatment-at-radiance-skin-and-hair-clinics-in-bhubaneswar/,fillers-treatment-at-radiance-skin-and-hair-clinics-in-bhubaneswar,Fillers Treatment at Radiance Skin and Hair Clinics in Bhubaneswar,post,TREATMENT,Ageing & Aesthetics,clinic,2023-10-11,,438,,0,0,,,/dermal-fillers-bhubaneswar,yes,80,70,yes,EXPAND,source bucket GOOD; medical/editorial flags: \b(botox|filler|injectable)\b
../output/markdown/clinic__locks-of-elegance-where-to-find-quality-hair-wigs.md,,https://www.radianceclinics.com/post/locks-of-elegance-where-to-find-quality-hair-wigs/,locks-of-elegance-where-to-find-quality-hair-wigs,Locks of Elegance: Where to Find Quality Hair Wigs,post,CLINIC_INFO,Clinic & Doctor,clinic,2024-01-23,,558,,0,0,,,/about,yes,80,75,no,EXPAND,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/clinic__decoding-the-cost-of-chemical-peels-in-odisha-understanding-the-factors-behind-pricing.md,,https://www.radianceclinics.com/post/decoding-the-cost-of-chemical-peels-in-odisha-understanding-the-factors-behind-pricing/,decoding-the-cost-of-chemical-peels-in-odisha-understanding-the-factors-behind-pricing,Decoding the Cost of Chemical Peels in Odisha: Understanding the Factors Behind Pricing,post,TREATMENT,Pigmentation,clinic,2024-05-10,,504,,0,0,,,/pigmentation-treatment-bhubaneswar,yes,80,73,yes,EXPAND,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/clinic__why-radiance-skin-and-hair-clinics-leads-in-stem-cell-transplants-in-odisha.md,,https://www.radianceclinics.com/post/why-radiance-skin-and-hair-clinics-leads-in-stem-cell-transplants-in-odisha/,why-radiance-skin-and-hair-clinics-leads-in-stem-cell-transplants-in-odisha,Why Radiance Skin and Hair Clinics Leads in Stem Cell Transplants in Odisha,post,DOCTOR_ANSWER_CANDIDATE,Skin Health,clinic,2024-05-20,,528,,0,0,,,/knowledge/why-radiance-skin-and-hair-clinics-leads-in-stem-cell-transplants-in-odisha,no,80,74,yes,CONVERT_TO_QA,source bucket GOOD; medical/editorial flags: \bstem cell\b
../output/markdown/clinic__botox-vs-fillers-which-is-right-for-you.md,,https://www.radianceclinics.com/post/botox-vs-fillers-which-is-right-for-you/,botox-vs-fillers-which-is-right-for-you,Botox vs. Fillers: Which is Right for You?,post,ARTICLE,Ageing & Aesthetics,clinic,2024-06-11,,480,,0,0,,,/botox-treatment-bhubaneswar,yes,80,72,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bno downtime\b | \b(botox|filler|injectable)\b
../output/markdown/clinic__transform-your-look-the-benefits-of-custom-hair-wigs.md,,https://www.radianceclinics.com/post/transform-your-look-the-benefits-of-custom-hair-wigs/,transform-your-look-the-benefits-of-custom-hair-wigs,Transform Your Look: The Benefits of Custom Hair Wigs,post,CLINIC_INFO,Clinic & Doctor,clinic,2024-07-25,,457,,0,0,,,/about,yes,80,71,no,EXPAND,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/hair__what-is-the-best-permanent-treatment-for-hair-loss.md,,https://www.radianceclinics.com/post/what-is-the-best-permanent-treatment-for-hair-loss/,what-is-the-best-permanent-treatment-for-hair-loss,What is the best permanent treatment for hair loss?,post,DOCTOR_ANSWER_CANDIDATE,Hair Loss & Scalp,hair,2024-08-14,,467,,0,0,,,/concerns/hair-loss-scalp/hair-loss,yes,80,71,yes,CONVERT_TO_QA,source bucket GOOD; medical/editorial flags: \bcure[sd]?\b | \bpermanent(?:ly)?\b
../output/markdown/clinic__can-laser-hair-removal-permanently-remove-hair.md,,https://www.radianceclinics.com/post/can-laser-hair-removal-permanently-remove-hair/,can-laser-hair-removal-permanently-remove-hair,Can Laser Hair Removal Permanently Remove Hair?,post,DOCTOR_ANSWER_CANDIDATE,Laser Hair Reduction,clinic,2024-11-20,,506,,0,0,,,/laser-hair-removal-bhubaneswar,yes,80,73,yes,CONVERT_TO_QA,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b
../output/markdown/hair__is-hair-transplant-the-right-solution-for-you-a-complete-guide-on-hair-transplant.md,,https://www.radianceclinics.com/post/is-hair-transplant-the-right-solution-for-you-a-complete-guide-on-hair-transplant/,is-hair-transplant-the-right-solution-for-you-a-complete-guide-on-hair-transplant,Is Hair Transplant the Right Solution for You? A Complete Guide on Hair Transplant,post,DOCTOR_ANSWER_CANDIDATE,Hair Transplant,hair,2024-12-16,,582,,0,0,,,/hair-transplant-bhubaneswar,yes,80,76,yes,CONVERT_TO_QA,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b
../output/markdown/skin__can-skin-clinics-help-with-dark-circles-and-under-eye-concerns.md,,https://www.radianceclinics.com/post/can-skin-clinics-help-with-dark-circles-and-under-eye-concerns/,can-skin-clinics-help-with-dark-circles-and-under-eye-concerns,Can Skin Clinics Help With Dark Circles and Under-Eye Concerns?,post,DOCTOR_ANSWER_CANDIDATE,Pigmentation,skin,2025-01-24,,578,,0,0,,,/concerns/pigmentation/under-eye-dark-circles,yes,80,76,yes,CONVERT_TO_QA,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/skin__when-should-you-visit-a-skin-clinic-signs-and-symptoms-to-watch.md,,https://www.radianceclinics.com/post/when-should-you-visit-a-skin-clinic-signs-and-symptoms-to-watch/,when-should-you-visit-a-skin-clinic-signs-and-symptoms-to-watch,When Should You Visit a Skin Clinic? Signs and Symptoms to Watch,post,DOCTOR_ANSWER_CANDIDATE,Skin Health,skin,2025-02-25,,475,,0,0,,,/knowledge/when-should-you-visit-a-skin-clinic-signs-and-symptoms-to-watch,no,80,72,yes,CONVERT_TO_QA,source bucket GOOD; medical/editorial flags: \bprescri(?:be|ption)\b | \bvitiligo\b | \bmole\b | \b(botox|filler|injectable)\b
../output/markdown/skin__which-filler-is-right-for-you-expert-advice.md,,https://www.radianceclinics.com/post/which-filler-is-right-for-you-expert-advice/,which-filler-is-right-for-you-expert-advice,Which Filler Is Right for You? Expert Advice,post,ARTICLE,Ageing & Aesthetics,skin,2025-03-25,,550,,0,0,,,/dermal-fillers-bhubaneswar,yes,80,75,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b | \b(botox|filler|injectable)\b
../output/markdown/clinic__how-long-do-ombre-powder-eyebrows-last.md,,https://www.radianceclinics.com/post/how-long-do-ombre-powder-eyebrows-last/,how-long-do-ombre-powder-eyebrows-last,How Long Do Ombre Powder Eyebrows Last?,post,CLINIC_INFO,Clinic & Doctor,clinic,2025-06-28,,554,,0,0,,,/about,yes,80,75,no,EXPAND,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b
../output/markdown/clinic__whats-the-cause-of-under-eye-dark-circles-and-what-treatments-can-help.md,,https://www.radianceclinics.com/post/whats-the-cause-of-under-eye-dark-circles-and-what-treatments-can-help/,whats-the-cause-of-under-eye-dark-circles-and-what-treatments-can-help,What's The Cause Of Under-Eye Dark Circles And What Treatments Can Help?,post,DOCTOR_ANSWER_CANDIDATE,Pigmentation,clinic,2025-08-16,,722,,0,0,,,/concerns/pigmentation/under-eye-dark-circles,yes,80,82,yes,CONVERT_TO_QA,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b | \b(botox|filler|injectable)\b
../output/markdown/clinic__modern-treatments-for-effective-fat-reduction.md,,https://www.radianceclinics.com/post/modern-treatments-for-effective-fat-reduction/,modern-treatments-for-effective-fat-reduction,Modern Treatments for Effective Fat Reduction,post,CLINIC_INFO,Clinic & Doctor,clinic,2025-08-30,,559,,0,0,,,/about,yes,80,75,no,EXPAND,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b
../output/markdown/clinic__how-hair-shapes-self-image-and-personal-confidence.md,,https://www.radianceclinics.com/post/how-hair-shapes-self-image-and-personal-confidence/,how-hair-shapes-self-image-and-personal-confidence,How Hair Shapes Self Image and Personal Confidence,post,CLINIC_INFO,Clinic & Doctor,clinic,2025-11-18,,655,,0,0,,,/about,yes,80,79,no,EXPAND,source bucket GOOD; medical/editorial flags: \bguarantee[sd]?\b
../output/markdown/clinic__what-diet-and-lifestyle-changes-can-support-successful-hair-restoration.md,,https://www.radianceclinics.com/post/what-diet-and-lifestyle-changes-can-support-successful-hair-restoration/,what-diet-and-lifestyle-changes-can-support-successful-hair-restoration,What Diet and Lifestyle Changes Can Support Successful Hair Restoration,post,CLINIC_INFO,Clinic & Doctor,clinic,2026-03-21,,560,,0,0,,,/about,yes,80,75,no,EXPAND,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/clinic__hair-transplant-in-vizag.md,,https://www.radianceclinics.com/hair-transplant-in-vizag/,hair-transplant-in-vizag,Hair Transplant in Vizag,page,LOCATION,Hair Transplant,clinic,2023-02-10,,440,,0,0,,,/hair-transplant-bhubaneswar,yes,75,67,yes,REDIRECT,source bucket GOOD; no automated medical-risk phrase flag; legacy city page does not establish a clinic branch
../output/markdown/clinic__hair-transplant-in-kolkata.md,,https://www.radianceclinics.com/hair-transplant-in-kolkata/,hair-transplant-in-kolkata,Hair Transplant in Kolkata,page,LOCATION,Hair Transplant,clinic,2023-02-10,,445,,0,0,,,/hair-transplant-bhubaneswar,yes,75,67,yes,REDIRECT,source bucket GOOD; medical/editorial flags: \bguarantee[sd]?\b | \bprescri(?:be|ption)\b; legacy city page does not establish a clinic branch
../output/markdown/clinic__hair-transplant-in-balasore.md,,https://www.radianceclinics.com/hair-transplant-in-balasore/,hair-transplant-in-balasore,Hair Transplant in Balasore,page,LOCATION,Hair Transplant,clinic,2023-02-10,,540,,0,0,,,/hair-transplant-bhubaneswar,yes,75,71,yes,REDIRECT,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b; legacy city page does not establish a clinic branch
../output/markdown/skin__skin-pigmentation.md,,https://www.radianceclinics.com/skin-pigmentation/,skin-pigmentation,Pigmentation Treatment Bhubaneswar,page,TREATMENT,Pigmentation,skin,2023-02-15,,417,,0,0,,,/pigmentation-treatment-bhubaneswar,yes,75,66,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bpermanent(?:ly)?\b | \bpainless\b | \bprescri(?:be|ption)\b
../output/markdown/clinic__ear-piercing.md,,https://www.radianceclinics.com/ear-piercing/,ear-piercing,Ear Piercing,page,CLINIC_INFO,Clinic & Doctor,clinic,2023-02-15,,402,,0,0,,,/about,yes,75,66,no,EXPAND,source bucket GOOD; medical/editorial flags: \bguarantee[sd]?\b | \bpainless\b
../output/markdown/clinic__body-piercing.md,,https://www.radianceclinics.com/body-piercing/,body-piercing,Body Piercing,page,CLINIC_INFO,Clinic & Doctor,clinic,2023-02-15,,413,,0,0,,,/about,yes,75,66,no,EXPAND,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/clinic__dandruff-treatment.md,,https://www.radianceclinics.com/dandruff-treatment/,dandruff-treatment,Dandruff Treatment,page,TREATMENT,Hair Loss & Scalp,clinic,2023-02-23,,422,,0,0,,,/concerns/hair-loss-scalp/dandruff,yes,75,66,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bprescri(?:be|ption)\b
../output/markdown/clinic__premature-hair-grey-treatment.md,,https://www.radianceclinics.com/premature-hair-grey-treatment/,premature-hair-grey-treatment,Premature Hair Grey Treatment,page,CLINIC_INFO,Clinic & Doctor,clinic,2023-02-23,,426,,0,0,,,/about,yes,75,67,no,EXPAND,source bucket GOOD; medical/editorial flags: \bprescri(?:be|ption)\b
../output/markdown/clinic__alopecia-treatment.md,,https://www.radianceclinics.com/alopecia-treatment/,alopecia-treatment,Alopecia Treatment,page,TREATMENT,Hair Loss & Scalp,clinic,2023-02-23,,416,,0,0,,,/knowledge,no,75,66,yes,REWRITE,source bucket GOOD; no automated medical-risk phrase flag
