legacy_url,destination_url,status,reason,equivalence_confidence,notes
/treatment/acne-treatment/acne-zap-laser,https://www.radianceclinics.com/acne-treatment-bhubaneswar,active-permanent,Current acne treatment page,high,The current page keeps active-acne assessment central.
/treatment/acne-treatment/carbon-laser-peel,https://www.radianceclinics.com/acne-treatment-bhubaneswar,active-permanent,Current acne treatment page,high,The current page keeps active-acne assessment central.
/treatment/anti-ageing-therapies,https://www.radianceclinics.com/treatments/aesthetic-dermatology,active-permanent,Current aesthetic dermatology hub,high,Broad category intent is preserved.
/treatment/anti-ageing-therapies/filler,https://www.radianceclinics.com/dermal-fillers-bhubaneswar,active-permanent,Current dermal fillers page,high,Direct treatment-intent replacement.
/treatment/anti-ageing-therapies/ultherapy,https://www.radianceclinics.com/conditions/skin-ageing-laxity,active-permanent,Closest current educational page without claiming a device-specific service,medium,A dedicated service page requires clinic verification.
/treatment/bridal-dermatology,https://www.radianceclinics.com/treatments/skin,active-permanent,Current skin treatment hub,medium,No unverified bridal package is promised.
/treatment/bridal-dermatology/derma-roller,https://www.radianceclinics.com/acne-scar-treatment-bhubaneswar,active-permanent,Current acne-scar assessment page,high,The current page covers suitable scar-treatment planning.
/treatment/bridal-dermatology/dermal-fillers,https://www.radianceclinics.com/dermal-fillers-bhubaneswar,active-permanent,Current dermal fillers page,high,Direct treatment-intent replacement.
/treatment/bridal-dermatology/laser-facials,https://www.radianceclinics.com/skin-clinic-bhubaneswar,active-permanent,Current skin-clinic assessment page,high,The replacement supports diagnosis-led treatment selection.
/treatment/bridal-dermatology/laser-hair-reduction,https://www.radianceclinics.com/laser-hair-removal-bhubaneswar,active-permanent,Current laser hair removal page,high,Direct treatment-intent replacement.
/treatment/bridal-dermatology/mnrf-acne-scars,https://www.radianceclinics.com/acne-scar-treatment-bhubaneswar,active-permanent,Current acne-scar assessment page,high,Treatment choice follows scar assessment.
/treatment/bridal-dermatology/under-eye-rejuvenation,https://www.radianceclinics.com/concerns/pigmentation/under-eye-dark-circles,active-permanent,Current under-eye concern page,high,The current page supports diagnosis-led planning for under-eye concerns.
/treatment/hairfall,https://www.radianceclinics.com/hair-loss-clinic-bhubaneswar,active-permanent,Current hair loss assessment pathway,high,The destination separates diagnosis from treatment choice.
/treatment/hairfall/gfc,https://www.radianceclinics.com/treatments/hair-restoration/prp-gfc-scalp-therapy,active-permanent,Equivalent PRP and GFC scalp therapy page,high,Commercial treatment intent is preserved.
/treatment/hairfall/hair-transplant,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Equivalent hair transplant consultation page,high,Direct one-hop replacement.
/treatment/hairfall/prp,https://www.radianceclinics.com/treatments/hair-restoration/prp-gfc-scalp-therapy,active-permanent,Equivalent PRP and GFC scalp therapy page,high,Commercial treatment intent is preserved.
/treatment/non-surgical-facial-enhancements/micro-blading,,deferred-verification,No verified current microblading page,none,Confirm the current service before rebuilding
/treatment/pigmentation,https://www.radianceclinics.com/pigmentation-treatment-bhubaneswar,active-permanent,Current pigmentation assessment pathway,high,Direct one-hop replacement.
/treatment/pigmentation/chemical-peel,https://www.radianceclinics.com/skin-clinic-bhubaneswar,active-permanent,Current skin-clinic assessment page,high,A chemical peel is selected after a clinical skin assessment.
/treatment/pigmentation/laser-toning,https://www.radianceclinics.com/pigmentation-treatment-bhubaneswar,active-permanent,Current pigmentation assessment page,high,The replacement retains pigmentation-planning intent.
/treatment/premium-services/laser-facial,https://www.radianceclinics.com/skin-clinic-bhubaneswar,active-permanent,Current skin-clinic assessment page,high,The replacement supports diagnosis-led treatment selection.
/treatment/premium-services/lip-pigmentation,,deferred-verification,No verified equivalent for lip pigmentation,none,Do not conflate cosmetic lip work with general pigmentation treatment
/treatment/premium-services/photofacials,https://www.radianceclinics.com/skin-clinic-bhubaneswar,active-permanent,Current skin-clinic assessment page,high,The replacement supports diagnosis-led treatment selection.
/treatment/stretch-marks,https://www.radianceclinics.com/concerns/scars-stretch-marks,active-permanent,Current scars and stretch marks concern hub,high,No device or outcome is promised.
/treatment/unwanted-hair,https://www.radianceclinics.com/laser-hair-removal-bhubaneswar,active-permanent,Current laser hair reduction pathway,high,Commercial unwanted-hair intent is preserved.
/treatment/unwanted-hair/aft-laser,https://www.radianceclinics.com/laser-hair-removal-bhubaneswar,active-permanent,Current laser hair removal page,high,The current page covers doctor-supervised laser hair reduction planning.
/treatment/unwanted-hair/diode-laser,https://www.radianceclinics.com/laser-hair-removal-bhubaneswar,active-permanent,Current laser hair removal page,high,Direct treatment-intent replacement.
/vitiligo-3,,deferred-verification,No medically reviewed vitiligo page,none,Medical review and current service verification required
/wart-removal,https://www.radianceclinics.com/wart-removal-bhubaneswar,active-permanent,Current wart assessment page,high,Direct treatment-intent replacement.
